City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
80,mayo,US,75.2,38.89,-76.51,Resorts Resource Group International
81,bredasdorp,ZA,48.2,-34.53,20.04,Bredasdorp Country Manor
83,norman wells,CA,55.4,65.28,-126.83,Heritage Hotel
84,mar del plata,AR,46.0,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
85,cherskiy,RU,70.5,68.75,161.3,Gostinitsa
86,tuktoyaktuk,CA,50.0,69.45,-133.04,End of The Road Ltd.
87,beringovskiy,RU,53.02,63.05,179.32,Beringgorski
88,inongo,CD,69.58,-1.95,18.27,Hotel Du Lac
89,pevek,RU,38.41,69.7,170.31,Severnoye Zoloto
90,hithadhoo,MV,84.25,-0.6,73.08,Scoop Guest House
91,victoria,HK,91.0,22.29,114.16,Mini Hotel Central
92,airai,TL,71.08,-8.93,125.41,Juvinal Martin
93,narkanda,IN,73.4,31.25,77.46,Comfortable Resort stay in Shimla
94,riachao,BR,69.4,-7.36,-46.62,Pousada Nordestina
95,longyearbyen,SJ,44.6,78.22,15.64,"Radisson Blu Polar Hotel, Spitsbergen"
97,cozumel,MX,82.0,20.51,-86.95,Cozumel Palace® All Inclusive Resort
98,butaritari,KI,83.39,3.07,172.79,Isles Sunset Lodge
99,riverton,US,77.0,40.52,-111.94,Ramada by Wyndham Draper
100,dikson,RU,44.92,73.51,80.55,
101,naze,JP,78.8,28.37,129.48,奄美ポートタワーホテル
102,constitucion,CL,50.99,-35.33,-72.42,Hotel Boutique Las Azucenas
104,tuatapere,NZ,47.3,-46.13,167.68,Tom Cruse Refreshment Company
105,celestun,MX,81.5,20.87,-90.4,Posada Lilia
106,laurel,US,73.99,39.1,-76.85,Days Inn & Suites by Wyndham Laurel Near Fort Meade
107,nanortalik,GL,44.44,60.14,-45.24,"NTS Rooms, Nanortalik"
108,dinghai,CN,86.0,26.28,119.79,
109,caceres,ES,68.0,39.52,-6.37,Ahc Hoteles
110,khatanga,RU,68.5,71.97,102.5,"Gostinitsa ""Zapolyar'ye"""
111,los andes,CL,44.6,-32.83,-70.6,Hotel Los Andes
