City_Id,City,Cloudiness,Country,Current Description,Humidity,Lat,Lng,Max Temp,Rain (inches),Snow (inches),Wind Speed
137,qui nhon,0,VN,clear sky,62,13.77,109.23,88.32,0.0,0.0,12.95
138,tambura,98,SS,overcast clouds,97,5.6,27.47,66.97,0.0,0.0,1.92
139,watsa,71,CD,broken clouds,97,3.04,29.54,62.76,0.0,0.0,1.32
140,khasan,85,RU,overcast clouds,82,42.43,130.64,69.06,0.0,0.0,7.9
141,port alfred,23,ZA,few clouds,90,-33.59,26.89,57.0,0.0,0.0,3.0
142,bosilegrad,22,RS,few clouds,84,42.5,22.47,53.8,0.0,0.0,2.57
143,talnakh,32,RU,scattered clouds,39,69.49,88.4,62.6,0.0,0.0,17.9
144,atuona,27,PF,scattered clouds,76,-9.8,-139.03,80.17,0.0,0.0,13.87
145,sao miguel do araguaia,0,BR,clear sky,59,-13.28,-50.16,69.24,0.0,0.0,4.81
146,muravlenko,100,RU,moderate rain,87,63.79,74.52,49.14,1.68,1.68,14.05
147,correntina,6,BR,clear sky,73,-13.34,-44.64,63.97,0.0,0.0,3.42
148,mount isa,0,AU,clear sky,24,-20.73,139.5,68.0,0.0,0.0,10.29
149,kapaa,1,US,clear sky,69,22.08,-159.32,80.6,0.0,0.0,10.29
150,souillac,75,MU,shower rain,88,-20.52,57.52,69.8,0.0,0.0,8.05
151,gornozavodsk,38,RU,scattered clouds,65,58.38,58.32,51.35,0.0,0.0,9.35
152,cherlak,95,RU,overcast clouds,68,54.16,74.81,67.15,0.0,0.0,0.45
153,iqaluit,75,CA,broken clouds,74,63.75,-68.51,39.2,0.0,0.0,5.41
154,bafra,14,TR,few clouds,93,41.57,35.91,60.8,0.0,0.0,3.36
155,soyo,41,AO,scattered clouds,88,-6.13,12.37,71.96,0.0,0.0,3.47
156,grants,1,US,clear sky,11,35.15,-107.85,73.4,0.0,0.0,6.93
157,marawi,72,PH,moderate rain,74,8.0,124.29,84.99,1.79,1.79,5.99
158,tromso,69,NO,broken clouds,71,69.65,18.96,51.8,0.0,0.0,4.7
159,chokurdakh,76,RU,broken clouds,40,70.63,147.92,71.11,0.0,0.0,16.84
160,east london,17,ZA,few clouds,71,-33.02,27.91,55.4,0.0,0.0,8.05
161,adrar,0,MR,clear sky,11,20.5,-10.07,95.02,0.0,0.0,21.16
162,nakamura,39,JP,scattered clouds,57,32.98,132.93,82.09,0.0,0.0,6.98
163,tautira,75,PF,broken clouds,65,-17.73,-149.15,80.6,0.0,0.0,4.7
164,cape town,66,ZA,broken clouds,100,-33.93,18.42,52.0,0.0,0.0,4.7
165,manokwari,78,ID,light rain,65,-0.87,134.08,85.44,0.38,0.38,3.6
166,kudahuvadhoo,100,MV,overcast clouds,73,2.67,72.89,83.86,0.0,0.0,10.11
167,sri aman,40,MY,scattered clouds,79,1.24,111.46,84.2,0.0,0.0,3.36
168,svetlaya,100,RU,light rain,94,46.54,138.33,52.29,0.27,0.27,6.46
169,gravdal,29,NO,scattered clouds,60,68.12,13.5,61.0,0.0,0.0,7.78
170,kahului,40,US,scattered clouds,43,20.89,-156.47,87.8,0.0,0.0,19.46
171,port elizabeth,27,ZA,scattered clouds,93,-33.92,25.57,50.0,0.0,0.0,2.24
172,shangrao,97,CN,moderate rain,71,28.45,117.97,89.1,1.38,1.38,1.79
173,rameswaram,100,IN,overcast clouds,74,9.28,79.3,83.68,0.0,0.0,18.03
174,clyde river,1,CA,clear sky,100,70.47,-68.59,35.6,0.0,0.0,2.24
175,olafsvik,99,IS,overcast clouds,82,64.89,-23.71,51.42,0.0,0.0,14.79
176,hervey bay,8,AU,clear sky,48,-25.3,152.85,73.99,0.0,0.0,7.0
177,ancud,90,CL,overcast clouds,93,-41.87,-73.82,46.99,0.0,0.0,17.22
178,san patricio,23,MX,few clouds,71,19.22,-104.7,80.96,0.0,0.0,1.97
179,cabedelo,11,BR,few clouds,74,-6.98,-34.83,75.36,0.0,0.0,14.85
180,petropavlovsk-kamchatskiy,82,RU,broken clouds,35,53.05,158.65,71.6,0.0,0.0,17.9
181,zambrow,48,PL,scattered clouds,99,52.99,22.24,66.99,0.0,0.0,3.0
182,alice springs,0,AU,clear sky,41,-23.7,133.88,59.0,0.0,0.0,11.41
183,kodiak,90,US,light rain,81,57.79,-152.41,51.8,0.0,0.0,11.41
184,vila velha,0,BR,clear sky,100,-20.33,-40.29,68.0,0.0,0.0,5.82
185,chuy,89,UY,overcast clouds,97,-33.7,-53.46,56.57,0.0,0.0,4.65
186,broken hill,75,AU,broken clouds,58,-31.95,141.43,57.2,0.0,0.0,19.46
187,kapuskasing,40,CA,fog,100,49.42,-82.43,60.8,0.0,0.0,2.24
188,thompson,75,CA,broken clouds,87,55.74,-97.86,59.0,0.0,0.0,3.49
189,bengkulu,95,ID,overcast clouds,66,-3.8,102.27,84.47,0.0,0.0,5.77
190,hambantota,75,LK,broken clouds,70,6.12,81.12,86.0,0.0,0.0,14.99
191,havre-saint-pierre,90,CA,overcast clouds,93,50.23,-63.6,53.6,0.0,0.0,8.05
192,klaksvik,36,FO,scattered clouds,100,62.23,-6.59,50.0,0.0,0.0,14.99
193,hay river,75,CA,broken clouds,39,60.82,-115.8,80.6,0.0,0.0,14.99
